dataset,column_name,suggested_standard_name,data_type,total_rows,missing_count,missing_percentage,unique_count,unique_percentage,column_category,potential_join_key,sample_values,numeric_min,numeric_max,numeric_mean,numeric_median
Works Completed.csv,Sr. No.,sr_no,str,27001,0,0.0,27001,100.0,Other,No,1 | 2 | 3,,,,
Works Completed.csv,Work Category,work_category,str,27001,0,0.0,4,0.01,Other,No,Normal/Others | Repair and Renovation | Trust and Society,,,,
Works Completed.csv,Work,work,str,27001,0,0.0,27001,100.0,Other,No,"WS/MP418/2024-2025/133409-Construction of roads, link roads, pathways or any other road with or without drainage system | WS/MP18152/2024-2025/133691-Construction of rooms and halls in school and colleges | WS/MP345/2024-2025/134140-Construction of roads, link roads, pathways or any other road with or without drainage system",,,,
Works Completed.csv,State,state,str,27001,0,0.0,34,0.13,Location,No,Bihar | Punjab | Kerala,,,,
Works Completed.csv,IDA,ida,str,27001,0,0.0,636,2.36,Identifier,Possible,ARARIA(DISTRICT PLANNING OFFICER ARARIA_IDA) | FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA) | KOLLAM(DISTRICT COLLECTOR KOLLAM_IDA),,,,
Works Completed.csv,Work Description,work_description,str,27001,79,0.29,24426,90.46,Text / Description,No,"PCC Road from Permeshwar Bhagat house to Ramdev Master house at ward no 15, uder Forbesganj Block. | Construction of MID DAY Meal Shed in Govt Primary school Bajakhana (Bus adda) | Concreting of road from Janathavayanasala -  Panthaplavil, ward no.6  Thrikkaruva GP, in  Kollam Constituency",,,,
Works Completed.csv,Hon'ble Members of Parliament,honble_members_of_parliament,str,27001,0,0.0,484,1.79,Text / Description,No,Pradeep Kumar Singh | SARABJEET SINGH KHALSA | Shri NK Premachandran,,,,
Works Completed.csv,Constituency,constituency,str,27001,0,0.0,484,1.79,Location,No,ARARIA | FARIDKOT(SC) | KOLLAM,,,,
Works Completed.csv,Image,image,str,27001,7956,29.47,2,0.01,Other,No,Images |  ,,,,
Works Completed.csv,Completion Date,completion_date,str,27001,0,0.0,590,2.19,Date / Time,No,05-Sep-24 | 07-Apr-25 | 12-Aug-24,,,,
Works Completed.csv,Amount Disbursed ( ₹ ),amount_disbursed,str,27001,27,0.1,9714,35.98,Financial,No,448127 | 300000 | 293492,,,,
