"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Constituency","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"1","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18218/2025-2026/233777","GHAZIABAD(DISTRICT MAGISTRAE GHAZIABAD_IDA)","ATUL GARG","GHAZIABAD","21-Aug-2026","DARSH BUILDCON","Payment In-Progress","799146"
"2","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18218/2025-2026/233878","GHAZIABAD(DISTRICT MAGISTRAE GHAZIABAD_IDA)","ATUL GARG","GHAZIABAD","04-Aug-2026","DARSH BUILDCON","Payment In-Progress","832080"
"3","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18218/2025-2026/233781","GHAZIABAD(DISTRICT MAGISTRAE GHAZIABAD_IDA)","ATUL GARG","GHAZIABAD","04-Aug-2026","DARSH BUILDCON","Payment In-Progress","498309"
"4","Odisha","Construction of community centers and community halls","WS/MP370/2024-2025/145537","Sundaragada(DISTRICT COLLECTOR SUNDARGARH_IDA)","Shri Jual Oram","SUNDARGARH (ST)","31-Aug-2026","MEMBER SECY OB AND OC WWB BBSR","Payment In-Progress","2000"
"5","Karnataka","Construction of additional rooms and halls in the existing public and community building","WS/MP18082/2025-2026/242466","CHITRADURGA(DEPUTY COMMISSIONER CHITRADURGA_IDA)","GOVIND MAKTHAPPA KARJOL","CHITRADURGA(SC)","31-Aug-2026","KRIDL BHUSIRI ACCOUNT WORKS","Payment In-Progress","375000"
"6","Madhya Pradesh","Construction of common work sheds/ common covered sitting area","WS/MP641/2025-2026/220322","BARWANI(DISTRICT COLLECTOR BADWANI_IDA)","Gajendra Singh Patel","KHARGONE(ST)","31-Aug-2026","NAGAR PALIKA PARISHAD BARWANI","Payment In-Progress","99254"
"7","Gujarat","Purchase of IT systems, including hardware and software for educational purposes","WS/	 MP575/2026-2027/291463","NAVSARI(DISTRICT COLLECTOR NAVSARI_IDA)","C R Patil","NAVSARI","29-Aug-2026","BHARGAV SUMANTRAI PATEL","Payment In-Progress","497845"
"8","Odisha","Construction of community centers and community halls","WS/MP300/2026-2027/226384","KHORDHA(DISTRICT COLLECTOR KHORDHA_IDA)","Smt Aparajita Sarangi","BHUBANESWAR","29-Aug-2026","MEMBER SECY OB AND OC WWB BBSR","Payment In-Progress","3000"
"9","Odisha","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP300/2025-2026/257871","KHORDHA(DISTRICT COLLECTOR KHORDHA_IDA)","Smt Aparajita Sarangi","BHUBANESWAR","31-Aug-2026","MEMBER SECY OB AND OC WWB BBSR","Payment In-Progress","2000"
"10","Odisha","Construction of public libraries and reading rooms","WS/MP300/2025-2026/157041","KHORDHA(DISTRICT COLLECTOR KHORDHA_IDA)","Smt Aparajita Sarangi","BHUBANESWAR","31-Aug-2026","MEMBER SECY OB AND OC WWB BBSR","Payment In-Progress","5000"
"11","Odisha","Construction of public libraries and reading rooms","WS/MP300/2025-2026/157040","KHORDHA(DISTRICT COLLECTOR KHORDHA_IDA)","Smt Aparajita Sarangi","BHUBANESWAR","30-Aug-2026","MEMBER SECY OB AND OC WWB BBSR","Payment In-Progress","5000"
"12","Odisha","Construction of public irrigation facilities","WS/MP18150/2026-2027/272840","SAMBALPUR(DISTRICT COLLECTOR SAMBALPUR_IDA)","DHARMENDRA PRADHAN","SAMBALPUR","01-Sep-2026","MEMBER SECY OB AND OC WWB BBSR","Payment In-Progress","7000"
"13","Odisha","Construction of public irrigation facilities","WS/MP18150/2026-2027/272770","SAMBALPUR(DISTRICT COLLECTOR SAMBALPUR_IDA)","DHARMENDRA PRADHAN","SAMBALPUR","01-Sep-2026","MEMBER SECY OB AND OC WWB BBSR","Payment In-Progress","7000"
"14","Odisha","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18350/2025-2026/182265","BOUDH(District Collector Boudh_IDA)","SUKANTA KUMAR PANIGRAHI","KANDHAMAL","17-Aug-2026","MEMBER SECY OB AND OC WWB BBSR","Payment In-Progress","3000"
"15","Karnataka","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18082/2025-2026/187502","TUMAKURU(DEPUTY COMMISSIONER TUMKUR_IDA)","GOVIND MAKTHAPPA KARJOL","CHITRADURGA(SC)","10-Aug-2026","KRIDL BHUSIRI ACCOUNT WORKS","Payment In-Progress","250000"
"16","Karnataka","Construction of buildings for training institutions","WS/MP18093/2026-2027/217128","TUMAKURU(DEPUTY COMMISSIONER TUMKUR_IDA)","V. SOMANNA","TUMKUR","05-Aug-2026","KRIDL BHUSIRI ACCOUNT WORKS","Payment In-Progress","750000"
"17","Karnataka","Installing tube-wells and borewells","WS/MP18093/2026-2027/217130","TUMAKURU(DEPUTY COMMISSIONER TUMKUR_IDA)","V. SOMANNA","TUMKUR","27-Jul-2026","KRIDL BHUSIRI ACCOUNT WORKS","Payment In-Progress","375000"
"18","Chhattisgarh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP568/2026-2027/279464","DURG(DISTRICT COLLECTOR DURG_IDA)","Vijay Baghel","DURG","03-Sep-2026","SARPANCH GRAM PANCHAYAT BATHENA","Payment In-Progress","260000"
"19","Uttar Pradesh","Lighting of public spaces","WS/MP18239/2025-2026/214638","SAMBHAL(DISTRICT MAGISTRAE BHIMNAGAR SAMBHAL_IDA)","ZIA UR REHMAN","SAMBHAL","20-Aug-2026","R G SUPLLIER","Payment In-Progress","36159"
"20","Uttar Pradesh","Lighting of public spaces","WS/MP18239/2025-2026/214637","SAMBHAL(DISTRICT MAGISTRAE BHIMNAGAR SAMBHAL_IDA)","ZIA UR REHMAN","SAMBHAL","20-Aug-2026","R G SUPLLIER","Payment In-Progress","36159"
"21","Uttar Pradesh","Lighting of public spaces","WS/MP18239/2025-2026/214639","SAMBHAL(DISTRICT MAGISTRAE BHIMNAGAR SAMBHAL_IDA)","ZIA UR REHMAN","SAMBHAL","20-Aug-2026","R G SUPLLIER","Payment In-Progress","36159"
"22","Uttar Pradesh","Lighting of public spaces","WS/MP18239/2025-2026/214742","SAMBHAL(DISTRICT MAGISTRAE BHIMNAGAR SAMBHAL_IDA)","ZIA UR REHMAN","SAMBHAL","20-Aug-2026","R G SUPLLIER","Payment In-Progress","36159"
"23","Uttar Pradesh","Lighting of public spaces","WS/MP18239/2025-2026/214643","SAMBHAL(DISTRICT MAGISTRAE BHIMNAGAR SAMBHAL_IDA)","ZIA UR REHMAN","SAMBHAL","20-Aug-2026","R G SUPLLIER","Payment In-Progress","36159"
"24","Uttar Pradesh","Lighting of public spaces","WS/MP18239/2025-2026/214751","SAMBHAL(DISTRICT MAGISTRAE BHIMNAGAR SAMBHAL_IDA)","ZIA UR REHMAN","SAMBHAL","20-Aug-2026","R G SUPLLIER","Payment In-Progress","36159"
"25","Uttar Pradesh","Lighting of public spaces","WS/MP18239/2025-2026/214776","SAMBHAL(DISTRICT MAGISTRAE BHIMNAGAR SAMBHAL_IDA)","ZIA UR REHMAN","SAMBHAL","20-Aug-2026","R G SUPLLIER","Payment In-Progress","36159"
"26","Uttar Pradesh","Lighting of public spaces","WS/MP18239/2025-2026/214778","SAMBHAL(DISTRICT MAGISTRAE BHIMNAGAR SAMBHAL_IDA)","ZIA UR REHMAN","SAMBHAL","20-Aug-2026","R G SUPLLIER","Payment In-Progress","36159"
"27","Uttar Pradesh","Lighting of public spaces","WS/MP18239/2025-2026/214780","SAMBHAL(DISTRICT MAGISTRAE BHIMNAGAR SAMBHAL_IDA)","ZIA UR REHMAN","SAMBHAL","20-Aug-2026","R G SUPLLIER","Payment In-Progress","36159"
"28","Uttar Pradesh","Lighting of public spaces","WS/MP18239/2025-2026/214771","SAMBHAL(DISTRICT MAGISTRAE BHIMNAGAR SAMBHAL_IDA)","ZIA UR REHMAN","SAMBHAL","20-Aug-2026","R G SUPLLIER","Payment In-Progress","36159"
"29","Uttar Pradesh","Lighting of public spaces","WS/MP18239/2025-2026/214774","SAMBHAL(DISTRICT MAGISTRAE BHIMNAGAR SAMBHAL_IDA)","ZIA UR REHMAN","SAMBHAL","20-Aug-2026","R G SUPLLIER","Payment In-Progress","36159"
"30","Uttar Pradesh","Lighting of public spaces","WS/MP18239/2025-2026/214772","SAMBHAL(DISTRICT MAGISTRAE BHIMNAGAR SAMBHAL_IDA)","ZIA UR REHMAN","SAMBHAL","20-Aug-2026","R G SUPLLIER","Payment In-Progress","36159"
"31","Uttar Pradesh","Lighting of public spaces","WS/MP18239/2025-2026/214753","SAMBHAL(DISTRICT MAGISTRAE BHIMNAGAR SAMBHAL_IDA)","ZIA UR REHMAN","SAMBHAL","20-Aug-2026","R G SUPLLIER","Payment In-Progress","36159"
"32","Uttar Pradesh","Lighting of public spaces","WS/MP18239/2025-2026/214761","SAMBHAL(DISTRICT MAGISTRAE BHIMNAGAR SAMBHAL_IDA)","ZIA UR REHMAN","SAMBHAL","20-Aug-2026","R G SUPLLIER","Payment In-Progress","36159"
"33","Uttar Pradesh","Lighting of public spaces","WS/MP18239/2025-2026/214768","SAMBHAL(DISTRICT MAGISTRAE BHIMNAGAR SAMBHAL_IDA)","ZIA UR REHMAN","SAMBHAL","20-Aug-2026","R G SUPLLIER","Payment In-Progress","36159"
"34","Uttar Pradesh","Lighting of public spaces","WS/MP18239/2025-2026/214767","SAMBHAL(DISTRICT MAGISTRAE BHIMNAGAR SAMBHAL_IDA)","ZIA UR REHMAN","SAMBHAL","20-Aug-2026","R G SUPLLIER","Payment In-Progress","36159"
"35","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/171412","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","18-Aug-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"36","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/183819","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","18-Aug-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"37","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/184028","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","18-Aug-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"38","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/184243","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","23-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"39","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/184254","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","23-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"40","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/184255","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","23-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"41","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/184305","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","23-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"42","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/184282","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","23-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"43","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/184280","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","23-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"44","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/184264","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","23-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"45","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/184266","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","23-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"46","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/184279","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","23-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
