dataset,row_number,field,defect_class,original_value
Allocated_Limit.csv,545,State,MISSING_OR_BLANK, 
Allocated_Limit.csv,545,Hon'ble Members of Parliaments,MISSING_OR_BLANK, 
Allocated_Limit.csv,545,Constituency,MISSING_OR_BLANK, 
Allocated_Limit.csv,109,Allocated AMOUNT ( ₹ ),MISSING_OR_BLANK,
Completed_On-going_Works.csv,8002,State,MISSING_OR_BLANK, 
Completed_On-going_Works.csv,8002,Work,MISSING_OR_BLANK, 
Completed_On-going_Works.csv,8002,Work ID,MISSING_OR_BLANK, 
Completed_On-going_Works.csv,8002,IDA,MISSING_OR_BLANK, 
Completed_On-going_Works.csv,8002,Hon'ble Members of Parliament,MISSING_OR_BLANK, 
Completed_On-going_Works.csv,8002,Constituency,MISSING_OR_BLANK, 
Completed_On-going_Works.csv,8002,Expenditure Date,MISSING_OR_BLANK, 
Completed_On-going_Works.csv,8002,Vendor Name,MISSING_OR_BLANK, 
Completed_On-going_Works.csv,8002,Payment Status,MISSING_OR_BLANK, 
consented_Calamity.csv,14,Calamity Type,MISSING_OR_BLANK, 
consented_Calamity.csv,14,Calamity Name,MISSING_OR_BLANK, 
consented_Calamity.csv,14,Hon'ble Members of Parliament,MISSING_OR_BLANK, 
consented_Calamity.csv,14,Date of Consent,MISSING_OR_BLANK, 
Works Completed.csv,27002,Work Category,MISSING_OR_BLANK, 
Works Completed.csv,27002,Work,MISSING_OR_BLANK, 
Works Completed.csv,27002,State,MISSING_OR_BLANK, 
Works Completed.csv,27002,IDA,MISSING_OR_BLANK, 
Works Completed.csv,1568,Work Description,MISSING_OR_BLANK,
Works Completed.csv,1569,Work Description,MISSING_OR_BLANK,
Works Completed.csv,1570,Work Description,MISSING_OR_BLANK,
Works Completed.csv,1651,Work Description,MISSING_OR_BLANK,
Works Completed.csv,1842,Work Description,MISSING_OR_BLANK,
Works Completed.csv,2433,Work Description,MISSING_OR_BLANK,
Works Completed.csv,3064,Work Description,MISSING_OR_BLANK,
Works Completed.csv,3065,Work Description,MISSING_OR_BLANK,
Works Completed.csv,3066,Work Description,MISSING_OR_BLANK,
Works Completed.csv,3067,Work Description,MISSING_OR_BLANK,
Works Completed.csv,3068,Work Description,MISSING_OR_BLANK,
Works Completed.csv,3069,Work Description,MISSING_OR_BLANK,
Works Completed.csv,3070,Work Description,MISSING_OR_BLANK,
Works Completed.csv,3071,Work Description,MISSING_OR_BLANK,
Works Completed.csv,3072,Work Description,MISSING_OR_BLANK,
Works Completed.csv,3073,Work Description,MISSING_OR_BLANK,
Works Completed.csv,3110,Work Description,MISSING_OR_BLANK,
Works Completed.csv,3473,Work Description,MISSING_OR_BLANK,
Works Completed.csv,3979,Work Description,MISSING_OR_BLANK,
Works Completed.csv,7052,Work Description,MISSING_OR_BLANK,
Works Completed.csv,7208,Work Description,MISSING_OR_BLANK,
Works Completed.csv,7827,Work Description,MISSING_OR_BLANK,
Works Completed.csv,8177,Work Description,MISSING_OR_BLANK,
Works Completed.csv,8462,Work Description,MISSING_OR_BLANK,
Works Completed.csv,8463,Work Description,MISSING_OR_BLANK,
Works Completed.csv,8464,Work Description,MISSING_OR_BLANK,
Works Completed.csv,8465,Work Description,MISSING_OR_BLANK,
Works Completed.csv,8466,Work Description,MISSING_OR_BLANK,
Works Completed.csv,8467,Work Description,MISSING_OR_BLANK,
Works Completed.csv,8468,Work Description,MISSING_OR_BLANK,
Works Completed.csv,8469,Work Description,MISSING_OR_BLANK,
Works Completed.csv,8470,Work Description,MISSING_OR_BLANK,
Works Completed.csv,8471,Work Description,MISSING_OR_BLANK,
Works Completed.csv,8472,Work Description,MISSING_OR_BLANK,
Works Completed.csv,8473,Work Description,MISSING_OR_BLANK,
Works Completed.csv,8474,Work Description,MISSING_OR_BLANK,
Works Completed.csv,8475,Work Description,MISSING_OR_BLANK,
Works Completed.csv,8476,Work Description,MISSING_OR_BLANK,
Works Completed.csv,8477,Work Description,MISSING_OR_BLANK,
Works Completed.csv,8478,Work Description,MISSING_OR_BLANK,
Works Completed.csv,8479,Work Description,MISSING_OR_BLANK,
Works Completed.csv,8480,Work Description,MISSING_OR_BLANK,
Works Completed.csv,8481,Work Description,MISSING_OR_BLANK,
Works Completed.csv,8483,Work Description,MISSING_OR_BLANK,
Works Completed.csv,8484,Work Description,MISSING_OR_BLANK,
Works Completed.csv,8485,Work Description,MISSING_OR_BLANK,
Works Completed.csv,8493,Work Description,MISSING_OR_BLANK,
Works Completed.csv,9004,Work Description,MISSING_OR_BLANK,
Works Completed.csv,9215,Work Description,MISSING_OR_BLANK,
Works Completed.csv,9217,Work Description,MISSING_OR_BLANK,
Works Completed.csv,9971,Work Description,MISSING_OR_BLANK,
Works Completed.csv,9972,Work Description,MISSING_OR_BLANK,
Works Completed.csv,10273,Work Description,MISSING_OR_BLANK,
Works Completed.csv,13005,Work Description,MISSING_OR_BLANK,
Works Completed.csv,13941,Work Description,MISSING_OR_BLANK,
Works Completed.csv,16327,Work Description,MISSING_OR_BLANK,
Works Completed.csv,17974,Work Description,MISSING_OR_BLANK,
Works Completed.csv,17976,Work Description,MISSING_OR_BLANK,
Works Completed.csv,17977,Work Description,MISSING_OR_BLANK,
Works Completed.csv,17979,Work Description,MISSING_OR_BLANK,
Works Completed.csv,17984,Work Description,MISSING_OR_BLANK,
Works Completed.csv,18000,Work Description,MISSING_OR_BLANK,
Works Completed.csv,18004,Work Description,MISSING_OR_BLANK,
