Sr. No.,State,Hon'ble Members of Parliaments,Constituency,Allocated AMOUNT ( ₹ ),dataset,row_number,quality_issues,Work,Work ID,IDA,Hon'ble Members of Parliament,Expenditure Date,Vendor Name,Payment Status,Fund Disbursed Amount ( ₹ ),Calamity Type,Calamity Name,Date of Consent,Consent Amount ( ₹ ),Work Category,Work Description,Image,Completion Date,Amount Disbursed ( ₹ ),Work category,Work description,Recommended date,Sanction Date,Sanction Amount ( ₹ ),Work Status,WORK,Elected/Nominated,RECOMMENDED AMOUNT   ( ₹ )
108,Maharashtra,CHAVAN VASANTRAO BALWANTRAO,NANDED,,Allocated_Limit.csv,109,MISSING_OR_BLANK,,,,,,,,,,,,,,,,,,,,,,,,,,
Grand Total, , , ,"83,18,05,53,325.71",Allocated_Limit.csv,545,MISSING_OR_BLANK,,,,,,,,,,,,,,,,,,,,,,,,,,
Grand Total, ,, ,,Completed_On-going_Works.csv,8002,MISSING_OR_BLANK, , , , , , , ,"27,57,80,31,080.45",,,,,,,,,,,,,,,,,,
Grand Total,,,,,consented_Calamity.csv,14,MISSING_OR_BLANK,,,, ,,,,, , , ,"4,05,67,400",,,,,,,,,,,,,,
1,Bihar,,ARARIA,,Works Completed.csv,2,MISSING_OR_BLANK,"WS/MP418/2024-2025/133409-Construction of roads, link roads, pathways or any other road with or without drainage system",,ARARIA(DISTRICT PLANNING OFFICER ARARIA_IDA),Pradeep Kumar Singh,,,,,,,,,Normal/Others,"PCC Road from Permeshwar Bhagat house to Ramdev Master house at ward no 15, uder Forbesganj Block.",,05-Sep-24,448127,,,,,,,,,
2,Punjab,,FARIDKOT(SC),,Works Completed.csv,3,MISSING_OR_BLANK,WS/MP18152/2024-2025/133691-Construction of rooms and halls in school and colleges,,FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA),SARABJEET SINGH KHALSA,,,,,,,,,Normal/Others,Construction of MID DAY Meal Shed in Govt Primary school Bajakhana (Bus adda),,07-Apr-25,300000,,,,,,,,,
3,Kerala,,KOLLAM,,Works Completed.csv,4,MISSING_OR_BLANK,"WS/MP345/2024-2025/134140-Construction of roads, link roads, pathways or any other road with or without drainage system",,KOLLAM(DISTRICT COLLECTOR KOLLAM_IDA),Shri NK Premachandran,,,,,,,,,Normal/Others,"Concreting of road from Janathavayanasala -  Panthaplavil, ward no.6  Thrikkaruva GP, in  Kollam Constituency",,12-Aug-24,293492,,,,,,,,,
4,Punjab,,FARIDKOT(SC),,Works Completed.csv,5,MISSING_OR_BLANK,WS/MP18152/2024-2025/133686-Construction of rooms and halls in school and colleges,,FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA),SARABJEET SINGH KHALSA,,,,,,,,,Normal/Others,Construction of MID DAY Meal Shed in Govt Primary school bajakhana main,,07-Apr-25,300000,,,,,,,,,
5,Punjab,,FARIDKOT(SC),,Works Completed.csv,6,MISSING_OR_BLANK,WS/MP18152/2024-2025/133690-Construction of rooms and halls in school and colleges,,FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA),SARABJEET SINGH KHALSA,,,,,,,,,Normal/Others,Construction of MID DAY Meal Shed in Govt Primary school Dal Singh Wala,,07-Apr-25,300000,,,,,,,,,
6,Punjab,,FARIDKOT(SC),,Works Completed.csv,7,MISSING_OR_BLANK,WS/MP18152/2024-2025/133689-Construction of rooms and halls in school and colleges,,FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA),SARABJEET SINGH KHALSA,,,,,,,,,Normal/Others,Construction of MID DAY Meal Shed in Govt Primary school Rauwala,,07-Apr-25,300000,,,,,,,,,
