allocation_id,state,constituency,honble_members_of_parliament
ALLOC_4f28b1a998b7c1ee02cc,Maharashtra,HINGOLI,AASHTIKAR PATIL NAGESH BAPURAO
ALLOC_fdc648af73c54564268f,Jammu And Kashmir,BARAMULLAH,ABDUL RASHID SHEIKH
ALLOC_248222d508092bfb4bbc,Bihar,AURANGABAD_BR,ABHAY KUMAR SINHA
ALLOC_4e7c3e64ae9b42b1fd3b,West Bengal,TAMLUK,ABHIJIT GANGOPADHYAY
ALLOC_f67b706a9281edc29602,West Bengal,MURSHIDABAD,Abu Taher Khan
ALLOC_e90805769b8c4e2b60d7,West Bengal,KANTHI,ADHIKARI SOUMENDU
ALLOC_de1da2c28cd4e226148e,Uttar Pradesh,BADAUN,ADITYA YADAV
ALLOC_b86e871a757032074494,Kerala,ATTINGAL,Adv Adoor Prakash
ALLOC_bb34ac5fd0a73d457b53,Kerala,IDUKKI,Adv Dean Kuriakose
ALLOC_94ba6d427cdca5734610,Maharashtra,NANDURBAR(ST),ADV GOWAAL KAGADA PADAVI
ALLOC_3c48785ade5a4f76c1d2,Kerala,KOTTAYAM,ADV K FRANCIS GEORGE
ALLOC_10cd023e9c852913da6e,Uttar Pradesh,GHAZIPUR,AFZAL ANSARI
ALLOC_c1a1c751110724a99a10,Jammu And Kashmir,SRINAGAR,AGA SYED RUHULLAH MEHDI
ALLOC_148a9d47ab226558bfd2,Uttarakhand,NAINITAL UDHAM SINGH NAG.,Ajay Bhatt
ALLOC_be495aabc6e49c722e76,Bihar,BHAGALPUR,Ajay Kumar Mandal
ALLOC_36c4332cc272ca05597b,Uttarakhand,ALMORA(SC),Ajay Tamta
ALLOC_e5a5c6576858f2f2c851,Uttar Pradesh,HAMIRPUR_UP,AJENDRA SINGH LODHI
ALLOC_a65f3ef561a80261b49a,Uttar Pradesh,KANNAUJ,AKHILESH YADAV
ALLOC_2d37d19c3c798cff66af,Uttar Pradesh,FIROZABAD,AKSHAYA YADAV
ALLOC_e2cb01850cb6d628a37b,Manipur,OUTER MANIPUR(ST),ALFRED KANNGAM S ARTHUR
ALLOC_1eb3f89f116892d05f37,Bihar,GOPALGANJ (SC),Alok Kumar Suman
ALLOC_a90e223d9b0634ebcc40,Madhya Pradesh,BHOPAL,ALOK SHARMA
ALLOC_472c54310369c7ca53d0,Maharashtra,WARDHA,AMAR SHARADRAO KALE
ALLOC_a9595b07655ce7847133,Assam,Diphu (ST),AMARSING TISSO
ALLOC_1e7f007d46326ef52419,Andhra Pradesh,ANANTAPUR,AMBICA G LAKSHMINARAYANA VALMIKI
ALLOC_5289201aa3bad92a8334,Maharashtra,SHIRUR,Amol Ramsing Kolhe
ALLOC_768399154b915ba81fd5,Rajasthan,SIKAR,AMRARAM
ALLOC_9393340347bc1885e0dc,Punjab,LUDHIANA,AMRINDER SINGH RAJA WARRING
ALLOC_cb14b53fb8030426c113,Uttar Pradesh,DHAURAHRA,ANAND BHADAURIYA
ALLOC_6b3c765fdf6a4053b66b,Uttar Pradesh,BAHRAICH(SC),ANAND KUMAR
ALLOC_5cc19fafe42169bde904,Odisha,KEONJHAR(ST),ANANTA NAYAK
ALLOC_9e04e10027e4ce6d7adf,Tamil Nadu,NILGIRIS(SC),Andimuthu Raja
ALLOC_a210f706f7156744fe77,Meghalaya,SHILLONG,ANDREW J. SYNGKON
ALLOC_66b4b3097a5369e72127,Manipur,INNER MANIPUR,ANGOMCHA BIMOL AKOIJAM
ALLOC_24086c2f7ea0af532442,Uttarakhand,GARHWAL,ANIL BALUNI
ALLOC_a4e359970235565d186e,Maharashtra,MUMBAI SOUTH CENTRAL,ANIL YESHWANT DESAI
ALLOC_f7c2c81bff9840816510,Madhya Pradesh,RATLAM(ST),ANITA NAGARSINGH CHOUHAN
ALLOC_7772eb5da184b0c3447e,Odisha,ASKA,ANITA SUBHADARSHINI
ALLOC_1e1f94b3b5d795e02bf7,Jharkhand,KODARMA,Annpurna Devi
ALLOC_9f62accccadd88a32096,Uttar Pradesh,HATHRAS (SC),ANOOP PRADHAN BALMIKI
ALLOC_581a434bfae3d50c74f5,Kerala,PATHANAMTHITTA,Anto Antony
ALLOC_64955524706cc3463831,Maharashtra,AKOLA,ANUP SANJAY DHOTRE
ALLOC_d5637263a3e1b0dd0120,Uttar Pradesh,JHANSI,Anurag Sharma
ALLOC_02530bf3ddf9e09e8e27,Himachal Pradesh,HAMIRPUR_HP,Anurag Singh Thakur
ALLOC_da1f9de4d0e51929bbef,Andhra Pradesh,VIZIANAGARAM,Appalanaidu Kalisetti
ALLOC_bca05df57f9d3655759b,Bihar,JAMUI(SC),ARUN BHARTI
ALLOC_357e3c86e894b6892fbf,Uttar Pradesh,MEERUT,ARUN GOVIL
ALLOC_7bd915264190206dd628,Tamil Nadu,PERAMBALUR,ARUN NEHRU
ALLOC_f90ec8961b8fae16262c,Telangana,MAHABUBNAGAR,ARUNA. D. K
ALLOC_2bb2fb5ebf20f242dc86,West Bengal,BANKURA,ARUP CHAKRABORTY
ALLOC_2b0d5547f34f348a39c0,Telangana,NIZAMABAD,Arvind Dharmapuri
ALLOC_6217ec35b9524aef0ecc,Maharashtra,MUMBAI SOUTH,Arvind Ganpat Sawant
ALLOC_8aa308c6833511665259,Telangana,HYDERABAD,Asaduddin Owaisi
ALLOC_73e0527d2114ebab2a9f,Madhya Pradesh,JABALPUR,ASHISH DUBEY
ALLOC_06a8835c461951b25822,Uttar Pradesh,MISRIKH(SC),Ashok Kumar Rawat
ALLOC_31f122ef3422c6f6e744,Bihar,MADHUBANI,Ashok Kumar Yadav
ALLOC_9c032583870ed842664e,West Bengal,BOLPUR(SC),Asit Kumar Mal
ALLOC_3fd7176d67f2d7ccac62,Uttar Pradesh,GHAZIABAD,ATUL GARG
ALLOC_c384eb11738135d531ea,Odisha,BHADRAK(SC),AVIMANYU SETHI
ALLOC_78f8a766a559708645b4,Uttar Pradesh,FAIZABAD,AWADHESH PRASAD
ALLOC_7611200b4c6876e6c919,West Bengal,BARDHAMAN-DURGAPUR,AZAD KIRTI JHA
ALLOC_ee29b1499e18342d49a5,Andhra Pradesh,HINDUPUR,B K PARTHASARATHI
ALLOC_4dede2d571dca84dc606,Uttar Pradesh,JAUNPUR,BABU SINGH KUSHWAHA
ALLOC_964035071394a6255b19,Maharashtra,DHULE,BACHHAV SHOBHA DINESH
ALLOC_25133965bcc0b898c4a7,West Bengal,ARAMBAG(SC),BAG MITALI
ALLOC_f63e921a9bf5ce9c15ed,Odisha,KENDRAPARA,BAIJAYANT PANDA
ALLOC_c55b60f99219790bf99d,Maharashtra,BEED,BAJRANG MANOHAR SONWANE
ALLOC_bb88271f8f3df31615bf,Odisha,NABARANGPUR(ST),BALABHADRA MAJHI
ALLOC_3f240dc3611b64499a1f,Andhra Pradesh,MACHILIPATNAM,Balashowry Vallabbhaneni
ALLOC_d6e04775b8fdcc7f6a71,Telangana,MAHABUBABAD,BALRAM NAIK PORIKA
ALLOC_73d67638976a01118547,Maharashtra,AMRAVATI(SC),BALWANT BASWANT WANKHADE
ALLOC_ec3b0a0895ec7f97f322,Maharashtra,BHIWANDI,BALYA MAMA SURESH GOPINATH MHATRE
ALLOC_2f33ed3732b8b388a370,Delhi,NEW DELHI,Bansuri Swaraj
ALLOC_0dd92a0066da15cd601e,West Bengal,MATHURAPUR(SC),BAPI HALDAR
ALLOC_c4eeee8ad4c12046a74c,Karnataka,HAVERI,BASAVARAJ BOMMAI
ALLOC_23a6dc0ae2a7b0dee96f,Andhra Pradesh,KURNOOL,BASTIPATI NAGARAJU PANCHALINGALA
ALLOC_963344e00f93255f2fbf,Rajasthan,AJMER,Bhagirath Chaudhary
ALLOC_8c3f26d5d8701501d863,Rajasthan,KARAULI-DHOLPUR(SC),BHAJAN LAL JATAV
ALLOC_aecbb8cbdf5cc6432a0e,Madhya Pradesh,GWALIOR,BHARAT SINGH KUSHWAH
ALLOC_80f1880e0941478dc3f1,Gujarat,AMRELI,BHARATBHAI MANUBHAI SUTARIYA
ALLOC_d3ecf66eb5199b4ccbb4,Gujarat,PATAN,Bharatsinhji Shankarji Dabhi
