calamity_id,sr_no,calamity_type,calamity_name,honble_members_of_parliament,date_of_consent,consent_amount_rupees,source_dataset
CAL_7d22756a87c13453619e,1,National Calamity,Flood 2025 in Punjab,Shri Gurjeet Singh Aujla,2025-12-07,7067400,consented_Calamity.csv
CAL_920291ee9ab7b16e7593,2,National Calamity,Flood 2025 in Punjab,GURMEET SINGH MEET HAYER,2025-11-03,7500000,consented_Calamity.csv
CAL_e6f7d6d20a9bf86b30c6,3,National Calamity,Flood 2025 in Punjab,Shri Jual Oram,2025-10-10,10000000,consented_Calamity.csv
CAL_09ad15655903727f6464,4,National Calamity,Andhra Pradesh rainfall and consequent floods - 2024,Krishna Prasad Tenneti,2025-03-26,1000000,consented_Calamity.csv
CAL_4c562a53e93e5c02052f,5,National Calamity,Meppadi landslides 2024,SHAFI PARAMBIL,2025-03-02,2500000,consented_Calamity.csv
CAL_a628cfc641bcfb7488f5,6,State Calamity,Vilangad Landslides 2024,SHAFI PARAMBIL,2025-03-01,2500000,consented_Calamity.csv
CAL_6ac2bcbb0b00cf0b0a36,7,National Calamity,Meppadi landslides 2024,DR C N MANJUNATH,2025-02-17,500000,consented_Calamity.csv
CAL_669f348dbb4a80d8a21b,8,National Calamity,Meppadi landslides 2024,Andimuthu Raja,2025-02-05,2500000,consented_Calamity.csv
CAL_098458eb89a39033f6db,9,State Calamity,Wayanad landslides 2024,Shri NK Premachandran,2024-12-07,1000000,consented_Calamity.csv
CAL_0682ea1d2e3f021e4be3,10,State Calamity,Vilangad Landslides 2024,Shri NK Premachandran,2024-12-07,1000000,consented_Calamity.csv
CAL_b93b4fdf9d47d85aea19,11,State Calamity,Wayanad landslides 2024,K RADHAKRISHNAN,2024-12-04,2500000,consented_Calamity.csv
CAL_9c2fcd6b0cfff14273ea,12,State Calamity,Natural Calamity Affected Area,BIPLAB KUMAR DEB,2024-09-03,2500000,consented_Calamity.csv
