sr_no,state,honble_members_of_parliaments,constituency,allocated_amount_rupees,allocated_amount_rupees_invalid_negative,source_dataset
1,Maharashtra,AASHTIKAR PATIL NAGESH BAPURAO,HINGOLI,190289442.0,False,Allocated_Limit.csv
2,Jammu And Kashmir,ABDUL RASHID SHEIKH,BARAMULLAH,154773472.11,False,Allocated_Limit.csv
3,Bihar,ABHAY KUMAR SINHA,AURANGABAD_BR,147000000.0,False,Allocated_Limit.csv
4,West Bengal,ABHIJIT GANGOPADHYAY,TAMLUK,147000000.0,False,Allocated_Limit.csv
5,West Bengal,Abu Taher Khan,MURSHIDABAD,147000000.0,False,Allocated_Limit.csv
6,West Bengal,ADHIKARI SOUMENDU,KANTHI,147000000.0,False,Allocated_Limit.csv
7,Uttar Pradesh,ADITYA YADAV,BADAUN,147000000.0,False,Allocated_Limit.csv
8,Kerala,Adv Adoor Prakash,ATTINGAL,147000000.0,False,Allocated_Limit.csv
9,Kerala,Adv Dean Kuriakose,IDUKKI,147000000.0,False,Allocated_Limit.csv
10,Maharashtra,ADV GOWAAL KAGADA PADAVI,NANDURBAR(ST),147816309.11,False,Allocated_Limit.csv
11,Kerala,ADV K FRANCIS GEORGE,KOTTAYAM,188722256.11,False,Allocated_Limit.csv
12,Uttar Pradesh,AFZAL ANSARI,GHAZIPUR,220500000.0,False,Allocated_Limit.csv
13,Jammu And Kashmir,AGA SYED RUHULLAH MEHDI,SRINAGAR,147000000.0,False,Allocated_Limit.csv
14,Uttarakhand,Ajay Bhatt,NAINITAL UDHAM SINGH NAG.,147000000.0,False,Allocated_Limit.csv
15,Bihar,Ajay Kumar Mandal,BHAGALPUR,147000000.0,False,Allocated_Limit.csv
16,Uttarakhand,Ajay Tamta,ALMORA(SC),147000000.0,False,Allocated_Limit.csv
17,Uttar Pradesh,AJENDRA SINGH LODHI,HAMIRPUR_UP,147000000.0,False,Allocated_Limit.csv
18,Uttar Pradesh,AKHILESH YADAV,KANNAUJ,147000000.0,False,Allocated_Limit.csv
19,Uttar Pradesh,AKSHAYA YADAV,FIROZABAD,147000000.0,False,Allocated_Limit.csv
20,Manipur,ALFRED KANNGAM S ARTHUR,OUTER MANIPUR(ST),147000000.0,False,Allocated_Limit.csv
21,Bihar,Alok Kumar Suman,GOPALGANJ (SC),147000000.0,False,Allocated_Limit.csv
22,Madhya Pradesh,ALOK SHARMA,BHOPAL,147000000.0,False,Allocated_Limit.csv
23,Maharashtra,AMAR SHARADRAO KALE,WARDHA,147000000.0,False,Allocated_Limit.csv
24,Assam,AMARSING TISSO,Diphu (ST),147000000.0,False,Allocated_Limit.csv
25,Andhra Pradesh,AMBICA G LAKSHMINARAYANA VALMIKI,ANANTAPUR,201899064.11,False,Allocated_Limit.csv
26,Maharashtra,Amol Ramsing Kolhe,SHIRUR,147000000.0,False,Allocated_Limit.csv
27,Rajasthan,AMRARAM,SIKAR,165691544.11,False,Allocated_Limit.csv
28,Punjab,AMRINDER SINGH RAJA WARRING,LUDHIANA,147000000.0,False,Allocated_Limit.csv
29,Uttar Pradesh,ANAND BHADAURIYA,DHAURAHRA,147000000.0,False,Allocated_Limit.csv
30,Uttar Pradesh,ANAND KUMAR,BAHRAICH(SC),147000000.0,False,Allocated_Limit.csv
