sr_no,state,work,work_id,ida,honble_members_of_parliament,constituency,expenditure_date,vendor_name,payment_status,fund_disbursed_amount_rupees,fund_disbursed_amount_rupees_invalid_negative,source_dataset
1,Uttar Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18218/2025-2026/233777,GHAZIABAD(DISTRICT MAGISTRAE GHAZIABAD_IDA),ATUL GARG,GHAZIABAD,2026-08-21,DARSH BUILDCON,Payment In-Progress,799146,False,Completed_On-going_Works.csv
2,Uttar Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18218/2025-2026/233878,GHAZIABAD(DISTRICT MAGISTRAE GHAZIABAD_IDA),ATUL GARG,GHAZIABAD,2026-08-04,DARSH BUILDCON,Payment In-Progress,832080,False,Completed_On-going_Works.csv
3,Uttar Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18218/2025-2026/233781,GHAZIABAD(DISTRICT MAGISTRAE GHAZIABAD_IDA),ATUL GARG,GHAZIABAD,2026-08-04,DARSH BUILDCON,Payment In-Progress,498309,False,Completed_On-going_Works.csv
4,Odisha,Construction of community centers and community halls,WS/MP370/2024-2025/145537,Sundaragada(DISTRICT COLLECTOR SUNDARGARH_IDA),Shri Jual Oram,SUNDARGARH (ST),2026-08-31,MEMBER SECY OB AND OC WWB BBSR,Payment In-Progress,2000,False,Completed_On-going_Works.csv
5,Karnataka,Construction of additional rooms and halls in the existing public and community building,WS/MP18082/2025-2026/242466,CHITRADURGA(DEPUTY COMMISSIONER CHITRADURGA_IDA),GOVIND MAKTHAPPA KARJOL,CHITRADURGA(SC),2026-08-31,KRIDL BHUSIRI ACCOUNT WORKS,Payment In-Progress,375000,False,Completed_On-going_Works.csv
6,Madhya Pradesh,Construction of common work sheds/ common covered sitting area,WS/MP641/2025-2026/220322,BARWANI(DISTRICT COLLECTOR BADWANI_IDA),Gajendra Singh Patel,KHARGONE(ST),2026-08-31,NAGAR PALIKA PARISHAD BARWANI,Payment In-Progress,99254,False,Completed_On-going_Works.csv
7,Gujarat,"Purchase of IT systems, including hardware and software for educational purposes",WS/ MP575/2026-2027/291463,NAVSARI(DISTRICT COLLECTOR NAVSARI_IDA),C R Patil,NAVSARI,2026-08-29,BHARGAV SUMANTRAI PATEL,Payment In-Progress,497845,False,Completed_On-going_Works.csv
8,Odisha,Construction of community centers and community halls,WS/MP300/2026-2027/226384,KHORDHA(DISTRICT COLLECTOR KHORDHA_IDA),Smt Aparajita Sarangi,BHUBANESWAR,2026-08-29,MEMBER SECY OB AND OC WWB BBSR,Payment In-Progress,3000,False,Completed_On-going_Works.csv
9,Odisha,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP300/2025-2026/257871,KHORDHA(DISTRICT COLLECTOR KHORDHA_IDA),Smt Aparajita Sarangi,BHUBANESWAR,2026-08-31,MEMBER SECY OB AND OC WWB BBSR,Payment In-Progress,2000,False,Completed_On-going_Works.csv
10,Odisha,Construction of public libraries and reading rooms,WS/MP300/2025-2026/157041,KHORDHA(DISTRICT COLLECTOR KHORDHA_IDA),Smt Aparajita Sarangi,BHUBANESWAR,2026-08-31,MEMBER SECY OB AND OC WWB BBSR,Payment In-Progress,5000,False,Completed_On-going_Works.csv
11,Odisha,Construction of public libraries and reading rooms,WS/MP300/2025-2026/157040,KHORDHA(DISTRICT COLLECTOR KHORDHA_IDA),Smt Aparajita Sarangi,BHUBANESWAR,2026-08-30,MEMBER SECY OB AND OC WWB BBSR,Payment In-Progress,5000,False,Completed_On-going_Works.csv
12,Odisha,Construction of public irrigation facilities,WS/MP18150/2026-2027/272840,SAMBALPUR(DISTRICT COLLECTOR SAMBALPUR_IDA),DHARMENDRA PRADHAN,SAMBALPUR,2026-09-01,MEMBER SECY OB AND OC WWB BBSR,Payment In-Progress,7000,False,Completed_On-going_Works.csv
13,Odisha,Construction of public irrigation facilities,WS/MP18150/2026-2027/272770,SAMBALPUR(DISTRICT COLLECTOR SAMBALPUR_IDA),DHARMENDRA PRADHAN,SAMBALPUR,2026-09-01,MEMBER SECY OB AND OC WWB BBSR,Payment In-Progress,7000,False,Completed_On-going_Works.csv
14,Odisha,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18350/2025-2026/182265,BOUDH(District Collector Boudh_IDA),SUKANTA KUMAR PANIGRAHI,KANDHAMAL,2026-08-17,MEMBER SECY OB AND OC WWB BBSR,Payment In-Progress,3000,False,Completed_On-going_Works.csv
15,Karnataka,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18082/2025-2026/187502,TUMAKURU(DEPUTY COMMISSIONER TUMKUR_IDA),GOVIND MAKTHAPPA KARJOL,CHITRADURGA(SC),2026-08-10,KRIDL BHUSIRI ACCOUNT WORKS,Payment In-Progress,250000,False,Completed_On-going_Works.csv
16,Karnataka,Construction of buildings for training institutions,WS/MP18093/2026-2027/217128,TUMAKURU(DEPUTY COMMISSIONER TUMKUR_IDA),V. SOMANNA,TUMKUR,2026-08-05,KRIDL BHUSIRI ACCOUNT WORKS,Payment In-Progress,750000,False,Completed_On-going_Works.csv
17,Karnataka,Installing tube-wells and borewells,WS/MP18093/2026-2027/217130,TUMAKURU(DEPUTY COMMISSIONER TUMKUR_IDA),V. SOMANNA,TUMKUR,2026-07-27,KRIDL BHUSIRI ACCOUNT WORKS,Payment In-Progress,375000,False,Completed_On-going_Works.csv
18,Chhattisgarh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP568/2026-2027/279464,DURG(DISTRICT COLLECTOR DURG_IDA),Vijay Baghel,DURG,2026-09-03,SARPANCH GRAM PANCHAYAT BATHENA,Payment In-Progress,260000,False,Completed_On-going_Works.csv
19,Uttar Pradesh,Lighting of public spaces,WS/MP18239/2025-2026/214638,SAMBHAL(DISTRICT MAGISTRAE BHIMNAGAR SAMBHAL_IDA),ZIA UR REHMAN,SAMBHAL,2026-08-20,R G SUPLLIER,Payment In-Progress,36159,False,Completed_On-going_Works.csv
20,Uttar Pradesh,Lighting of public spaces,WS/MP18239/2025-2026/214637,SAMBHAL(DISTRICT MAGISTRAE BHIMNAGAR SAMBHAL_IDA),ZIA UR REHMAN,SAMBHAL,2026-08-20,R G SUPLLIER,Payment In-Progress,36159,False,Completed_On-going_Works.csv
21,Uttar Pradesh,Lighting of public spaces,WS/MP18239/2025-2026/214639,SAMBHAL(DISTRICT MAGISTRAE BHIMNAGAR SAMBHAL_IDA),ZIA UR REHMAN,SAMBHAL,2026-08-20,R G SUPLLIER,Payment In-Progress,36159,False,Completed_On-going_Works.csv
22,Uttar Pradesh,Lighting of public spaces,WS/MP18239/2025-2026/214742,SAMBHAL(DISTRICT MAGISTRAE BHIMNAGAR SAMBHAL_IDA),ZIA UR REHMAN,SAMBHAL,2026-08-20,R G SUPLLIER,Payment In-Progress,36159,False,Completed_On-going_Works.csv
23,Uttar Pradesh,Lighting of public spaces,WS/MP18239/2025-2026/214643,SAMBHAL(DISTRICT MAGISTRAE BHIMNAGAR SAMBHAL_IDA),ZIA UR REHMAN,SAMBHAL,2026-08-20,R G SUPLLIER,Payment In-Progress,36159,False,Completed_On-going_Works.csv
24,Uttar Pradesh,Lighting of public spaces,WS/MP18239/2025-2026/214751,SAMBHAL(DISTRICT MAGISTRAE BHIMNAGAR SAMBHAL_IDA),ZIA UR REHMAN,SAMBHAL,2026-08-20,R G SUPLLIER,Payment In-Progress,36159,False,Completed_On-going_Works.csv
25,Uttar Pradesh,Lighting of public spaces,WS/MP18239/2025-2026/214776,SAMBHAL(DISTRICT MAGISTRAE BHIMNAGAR SAMBHAL_IDA),ZIA UR REHMAN,SAMBHAL,2026-08-20,R G SUPLLIER,Payment In-Progress,36159,False,Completed_On-going_Works.csv
26,Uttar Pradesh,Lighting of public spaces,WS/MP18239/2025-2026/214778,SAMBHAL(DISTRICT MAGISTRAE BHIMNAGAR SAMBHAL_IDA),ZIA UR REHMAN,SAMBHAL,2026-08-20,R G SUPLLIER,Payment In-Progress,36159,False,Completed_On-going_Works.csv
27,Uttar Pradesh,Lighting of public spaces,WS/MP18239/2025-2026/214780,SAMBHAL(DISTRICT MAGISTRAE BHIMNAGAR SAMBHAL_IDA),ZIA UR REHMAN,SAMBHAL,2026-08-20,R G SUPLLIER,Payment In-Progress,36159,False,Completed_On-going_Works.csv
