sr_no,work_category,work,state,ida,honble_members_of_parliament,constituency,work_description,recommended_date,sanction_date,sanction_amount_rupees,work_status,sanction_amount_rupees_invalid_negative,source_dataset
1,Normal/Others,WS/ MP620/2024-2025/133166-Construction of buildings for community cultural activities,Karnataka,DHARWAD(DEPUTY COMMISSIONER DHARWAR_IDA),Pralhad Venkatesh Joshi,DHARWAD,Construction of Community Bhavan at Navalgund TQ Belavatagi Village Pry No 1/A Near Shivanand Math Continue Work,2024-07-08,2024-07-09,497185.0,Physical Inspection,False,Works Sanctioned.csv
2,Trust and Society,WS/ MP620/2025-2026/133167-Construction of rooms and halls in school and colleges,Karnataka,DHARWAD(DEPUTY COMMISSIONER DHARWAR_IDA),Pralhad Venkatesh Joshi,DHARWAD,Construction of College room of CBS Charitable Foudation at Nulvi Vilage Pry No 817/3 Continued work,2024-07-08,2025-09-18,500000.0,Sanction,False,Works Sanctioned.csv
3,Trust and Society,WS/ MP620/2024-2025/133190-Construction of buildings for community cultural activities,Karnataka,DHARWAD(DEPUTY COMMISSIONER DHARWAR_IDA),Pralhad Venkatesh Joshi,DHARWAD,Construction of Community Bhavan of Veerashaiv Jangam Society (R) at Ward No 21 Chidamarnagar Dharwad,2024-07-08,2024-09-23,450000.0,Sanction,False,Works Sanctioned.csv
4,Normal/Others,WS/ MP620/2025-2026/133191-Construction of buildings for community cultural activities,Karnataka,HAVERI(DEPUTY COMMISSIONER HAVERI_IDA),Pralhad Venkatesh Joshi,DHARWAD,Construction of Maremma Cultural bhavan at Neerlgudda village Shiggava TQ,2024-07-08,2025-05-29,1500000.0,Work partially Completed,False,Works Sanctioned.csv
5,Normal/Others,WS/ MP620/2024-2025/133301-Construction of buildings for community cultural activities,Karnataka,DHARWAD(DEPUTY COMMISSIONER DHARWAR_IDA),Pralhad Venkatesh Joshi,DHARWAD,"Construction of Cultural Bhavan at Kundagol TQ, Chickgungal Village ST Colony, Pry No.202",2024-07-09,2024-08-22,398009.0,Physical Inspection,False,Works Sanctioned.csv
6,Normal/Others,WS/ MP620/2024-2025/133303-Construction of buildings for community cultural activities,Karnataka,DHARWAD(DEPUTY COMMISSIONER DHARWAR_IDA),Pralhad Venkatesh Joshi,DHARWAD,Construction of Community Hall at Uppinbetageri Village Near Mallikarjun Temple Pry No1151,2024-07-09,2024-07-25,399104.0,Physical Inspection,False,Works Sanctioned.csv
7,Normal/Others,WS/ MP620/2024-2025/133304-Construction of buildings for community cultural activities,Karnataka,DHARWAD(DEPUTY COMMISSIONER DHARWAR_IDA),Pralhad Venkatesh Joshi,DHARWAD,Construction of Community Hall at Shibargatti Village Near Hanamanth Temple Pry No 96,2024-07-09,2024-08-22,396154.0,Physical Inspection,False,Works Sanctioned.csv
8,Normal/Others,WS/ MP620/2025-2026/133305-Construction of buildings for community cultural activities,Karnataka,DHARWAD(DEPUTY COMMISSIONER DHARWAR_IDA),Pralhad Venkatesh Joshi,DHARWAD,Construction of Community Hall at Hosategur Village Near Shri Girimalleshwar Math Pry No 518 Continue work,2024-07-09,2025-06-03,400000.0,Sanction,False,Works Sanctioned.csv
9,Normal/Others,WS/ MP620/2024-2025/133306-Construction of buildings for community cultural activities,Karnataka,DHARWAD(DEPUTY COMMISSIONER DHARWAR_IDA),Pralhad Venkatesh Joshi,DHARWAD,Construction of Community Hall at Kardigudda Village Near Mallikarjun Temple Pry No 451/2,2024-07-09,2025-03-14,495627.0,Physical Inspection,False,Works Sanctioned.csv
10,Normal/Others,WS/ MP620/2024-2025/133307-Construction of buildings for community cultural activities,Karnataka,DHARWAD(DEPUTY COMMISSIONER DHARWAR_IDA),Pralhad Venkatesh Joshi,DHARWAD,Construction of Community Hall at Tadakod Village Near Vittal Temple Pry No 319,2024-07-09,2024-08-17,398955.0,Physical Inspection,False,Works Sanctioned.csv
11,Normal/Others,WS/ MP620/2024-2025/133308-Construction of buildings for community cultural activities,Karnataka,DHARWAD(DEPUTY COMMISSIONER DHARWAR_IDA),Pralhad Venkatesh Joshi,DHARWAD,Construction of Community Hall at Mulmuttal Village Near Beereshwar Temple Pry No 67,2024-07-09,2024-08-17,399304.0,Physical Inspection,False,Works Sanctioned.csv
12,Normal/Others,WS/ MP620/2024-2025/133309-Construction of buildings for community cultural activities,Karnataka,DHARWAD(DEPUTY COMMISSIONER DHARWAR_IDA),Pralhad Venkatesh Joshi,DHARWAD,Construction of Community Hall at Nigadi Village Near Kalmeshwar Temple Pry No 101 Continued work,2024-07-09,2025-03-14,495031.0,Physical Inspection,False,Works Sanctioned.csv
13,Normal/Others,WS/ MP620/2024-2025/133310-Construction of buildings for community cultural activities,Karnataka,DHARWAD(DEPUTY COMMISSIONER DHARWAR_IDA),Pralhad Venkatesh Joshi,DHARWAD,Construction of Cultural Bhavan at Parsapur Village Near Hanuman Temple Pry No 107,2024-07-09,2024-08-22,247583.0,Physical Inspection,False,Works Sanctioned.csv
14,Normal/Others,WS/ MP620/2024-2025/133311-Construction of buildings for community cultural activities,Karnataka,DHARWAD(DEPUTY COMMISSIONER DHARWAR_IDA),Pralhad Venkatesh Joshi,DHARWAD,Construction of Cultural Bhavan at Chabbi Village Near Vithobha Temple Pry No 266/A,2024-07-09,2024-08-22,250000.0,Sanction,False,Works Sanctioned.csv
15,Normal/Others,WS/ MP620/2024-2025/133312-Construction of buildings for community cultural activities,Karnataka,DHARWAD(DEPUTY COMMISSIONER DHARWAR_IDA),Pralhad Venkatesh Joshi,DHARWAD,Construction of Community Hall at Ayahatti Village Near Beereshwar Temple Pry No 34,2024-07-09,2024-07-25,498091.0,Physical Inspection,False,Works Sanctioned.csv
16,Normal/Others,"WS/MP418/2024-2025/133409-Construction of roads, link roads, pathways or any other road with or without drainage system",Bihar,ARARIA(DISTRICT PLANNING OFFICER ARARIA_IDA),Pradeep Kumar Singh,ARARIA,"PCC Road from Permeshwar Bhagat house to Ramdev Master house at ward no 15, uder Forbesganj Block.",2024-07-12,2024-07-14,448127.0,Physical Inspection,False,Works Sanctioned.csv
17,Normal/Others,WS/MP498/2024-2025/133447-Construction of culverts and bridges,West Bengal,Dakshin Dinajpur(DISTRICT MAGISTRATE DINAJPUR DAKSHIN_IDA),Dr Sukanta Majumdar,BALURGHAT,Phage 2: Concrete R.C.C. bridge,2024-07-13,2024-08-07,1602957.0,Physical Inspection,False,Works Sanctioned.csv
18,Normal/Others,"WS/MP577/2025-2026/133549-Construction of roads, link roads, pathways or any other road with or without drainage system",Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),khnagela game mota faliya ma c.c.road nu kam,2024-07-17,2025-04-11,250000.0,Physical Inspection,False,Works Sanctioned.csv
19,Normal/Others,"WS/MP577/2025-2026/133550-Construction of roads, link roads, pathways or any other road with or without drainage system",Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),vijagadh game sampura balubhai na ghar thi kenal faliya sudhi c.c.road nu kam,2024-07-17,2025-10-07,245697.0,Sanction,False,Works Sanctioned.csv
20,Normal/Others,"WS/MP577/2025-2026/133551-Construction of roads, link roads, pathways or any other road with or without drainage system",Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),khangela game dharmesh na ghar taraf jata rasta par c.c.road nu kam,2024-07-17,2025-10-17,242105.0,Physical Inspection,False,Works Sanctioned.csv
