sr_no,calamity_type,calamity_name,honble_members_of_parliament,date_of_consent,consent_amount_rupees,consent_amount_rupees_invalid_negative,source_dataset
1,National Calamity,Flood 2025 in Punjab,Shri Gurjeet Singh Aujla,2025-12-07,7067400,False,consented_Calamity.csv
2,National Calamity,Flood 2025 in Punjab,GURMEET SINGH MEET HAYER,2025-11-03,7500000,False,consented_Calamity.csv
3,National Calamity,Flood 2025 in Punjab,Shri Jual Oram,2025-10-10,10000000,False,consented_Calamity.csv
4,National Calamity,Andhra Pradesh rainfall and consequent floods - 2024,Krishna Prasad Tenneti,2025-03-26,1000000,False,consented_Calamity.csv
5,National Calamity,Meppadi landslides 2024,SHAFI PARAMBIL,2025-03-02,2500000,False,consented_Calamity.csv
6,State Calamity,Vilangad Landslides 2024,SHAFI PARAMBIL,2025-03-01,2500000,False,consented_Calamity.csv
7,National Calamity,Meppadi landslides 2024,DR C N MANJUNATH,2025-02-17,500000,False,consented_Calamity.csv
8,National Calamity,Meppadi landslides 2024,Andimuthu Raja,2025-02-05,2500000,False,consented_Calamity.csv
9,State Calamity,Wayanad landslides 2024,Shri NK Premachandran,2024-12-07,1000000,False,consented_Calamity.csv
10,State Calamity,Vilangad Landslides 2024,Shri NK Premachandran,2024-12-07,1000000,False,consented_Calamity.csv
11,State Calamity,Wayanad landslides 2024,K RADHAKRISHNAN,2024-12-04,2500000,False,consented_Calamity.csv
12,State Calamity,Natural Calamity Affected Area,BIPLAB KUMAR DEB,2024-09-03,2500000,False,consented_Calamity.csv
